frame,timestamp
1,1586
2,1623
3,1656
4,1688
5,1720
6,1756
7,1787
8,1819
9,1851
10,1888
11,1920
12,1951
13,1988
14,2019
15,2055
16,2087
17,2119
18,2156
19,2189
20,2221
21,2253
22,2285
23,2318
24,2352
25,2385
26,2418
27,2451
28,2489
29,2521
30,2553
31,2585
32,2618
33,2655
34,2689
35,2721
36,2753
37,2785
38,2822
39,2853
40,2886
41,2922
42,2955
43,2987
44,3019
45,3051
46,3089
47,3121
48,3154
49,3186
50,3218
51,3250
52,3289
53,3321
54,3353
55,3385
56,3419
57,3451
58,3488
59,3520
60,3553
61,3585
62,3618
63,3650
64,3688
65,3720
66,3752
67,3784
68,3817
69,3850
70,3889
71,3920
72,3952
73,3983
74,4021
75,4054
76,4086
77,4120
78,4153
79,4185
80,4219
81,4251
82,4289
83,4321
84,4353
85,4385
86,4423
87,4454
88,4486
89,4518
90,4555
91,4587
92,4619
93,4652
94,4685
95,4722
96,4753
97,4785
98,4818
99,4850
100,4888
101,4921
102,4953
103,4986
104,5018
105,5049
106,5086
107,5118
108,5151
109,5184
110,5217
111,5250
112,5287
113,5319
114,5350
115,5387
116,5419
117,5451
118,5485
119,5517
120,5554
121,5586
122,5618
123,5651
124,5683
125,5716
126,5753
127,5787
128,5820
129,5853
130,5885
131,5917
132,5955
133,5986
134,6018
135,6049
136,6088
137,6121
138,6154
139,6185
140,6217
141,6250
142,6286
143,6318
144,6351
145,6383
146,6420
147,6453
148,6486
149,6518
150,6550
151,6583
152,6621
153,6649
154,6687
155,6720
156,6753
157,6785
158,6818
159,6850
160,6888
161,6919
162,6951
163,6984
164,7021
165,7054
166,7086
167,7119
168,7152
169,7185
170,7216
171,7253
172,7285
173,7317
174,7349
175,7386
176,7418
177,7451
178,7485
179,7516
180,7549
181,7582
182,7616
183,7649
184,7686
185,7717
186,7750
187,7782
188,7820
189,7852
190,7884
191,7916
192,7949
193,7982
194,8020
195,8051
196,8083
197,8115
198,8152
199,8185
200,8216
201,8249
202,8287
203,8315
204,8352
205,8385
206,8417
207,8450
208,8483
209,8514
210,8552
211,8586
212,8618
213,8651
214,8684
215,8715
216,8753
217,8785
218,8817
219,8849
220,8882
221,8921
222,8953
223,8986
224,9019
225,9053
226,9085
227,9117
228,9149
229,9181
230,9219
231,9251
232,9284
233,9316
234,9349
235,9382
236,9419
237,9452
238,9485
239,9519
240,9552
241,9586
242,9618
243,9652
244,9685
245,9717
246,9751
247,9784
248,9816
249,9848
250,9886
251,9918
252,9950
253,9983
254,10019
255,10052
256,10083
257,10116
258,10148
259,10181
260,10220
261,10248
262,10281
263,10319
264,10352
265,10384
266,10415
267,10448
268,10485
269,10518
270,10550
271,10581
272,10618
273,10650
274,10683
275,10719
276,10751
277,10784
278,10816
279,10848
280,10882
281,10914
282,10951
283,10984
284,11015
285,11047
286,11084
287,11116
288,11148
289,11181
290,11218
291,11250
292,11282
293,11314
294,11350
295,11383
296,11415
297,11448
298,11485
299,11517
300,11549
301,11581
302,11614
303,11647
304,11680
305,11719
306,11752
307,11783
308,11816
309,11849
310,11882
311,11914
312,11952
313,11984
314,12016
315,12049
316,12081
317,12119
318,12152
319,12185
320,12218
321,12250
322,12283
323,12314
324,12351
325,12383
326,12415
327,12448
328,12480
329,12517
330,12550
331,12582
332,12615
333,12648
334,12682
335,12715
336,12748
337,12780
338,12817
339,12849
340,12881
341,12913
342,12950
343,12982
344,13014
345,13051
346,13084
347,13116
348,13148
349,13182
350,13213
351,13250
352,13281
353,13314
354,13350
355,13383
356,13416
357,13448
358,13484
359,13517
360,13549
361,13583
362,13615
363,13648
364,13679
365,13713
366,13751
367,13783
368,13814
369,13846
370,13884
371,13917
372,13948
373,13980
374,14018
375,14050
376,14082
377,14114
378,14148
379,14180
380,14214
381,14246
382,14282
383,14314
384,14351
385,14383
386,14415
387,14446
388,14485
389,14516
390,14548
391,14579
392,14617
393,14649
394,14682
395,14715
396,14747
397,14780
398,14817
399,14849
400,14881
401,14914
402,14947
403,14980
404,15013
405,15050
406,15083
407,15115
